id,name,description,category,production_year,price,amount,image
1,Обод,"29x25мм, TLR, алюминий",6,2024,5200,2,"products/tires-2.jpg"
2,Покрышка,"29x25мм, TLR, алюминий",6,2023,4000,6,"products/tires-1.jpg"
3,Втулка задняя,"148мм boost",6,2022,2700 ,2,"products/sleeve-rear-1.jpg"
4,Втулка передняя,"110мм boost",6,2021,2300,2,"products/sleeve-front-1.jpg"
5,Спица,"Спица",6,2020,120,144,"products/tires-3.jpg"
6,Кассета,"12s, 11-48th, microspline",5,2021,4500,3,"products/cassette-1.jpg"
7,Система,"34th, hollowtech",5,2020,2500 ,4,"products/transmission-3.jpg"
8,Переключатель,"Переключатель задний механический, 12s",5,2022,4700,5,"products/transmission-2.jpg"
9,Ручка переключателя,"Манетка заднего переключателя, 12s",5,2023,2500,2,"products/shifter-1.jpg"
10,Успокоитель цепи,"Просто успокоитель, успокойтесь",5,2019,1500,1,"products/chain-tensioner-1.jpg"
11,Цепь,"12s, 112 звеньев, с замком",5,2018,1700,8,"products/chain-1.jpg"
12,Амортизатор,"Задний амортизатор RockShox",3,2023,25000,2,"products/suspension-3.jpg"
13,Вилка RockShox Recon,"Вилка RockShox Recon, 120мм",3,2024,32000,1,"products/suspension-2.jpg"
14,Педали,"Педали AEIKE, алюминий, 3 подшипника",7,2023,2020,3,"products/other-3.jpg"
15,Велонасос,"shrader/presta, с манометром, 8Bar/115psi",4,2025,1500,7,"products/access-1.jpg"
16,Фляга для воды,"0,7л, пластик",4,2024,700,15,"products/bottle-1.jpg"
17,Шлем,"Эндурная корзинка с затылком",1,2025,7000,2,"products/access-2.jpg"
18,Велокосметика Muc-Off,"Набор щеток и шампуней",4,2026,4500,3,"products/access-3.jpg"
19,Велосмуки Rhinowalk,"Набор велосумок Rhinowalk",4,2025,11000,1,"products/access-4.jpg"
20,Дроппер,"Регулируемый подседельный штырь",8,2023,15000,1,"products/other-2.jpg"
21,Руль Cycledesign,"MTB руль, 800мм",8,2024,5000,2,"products/other-4.jpg"
22,Вилка Fox Factory,"Вилка Fox Factory, 140мм",3,2024,65000,1,"products/suspension-1.jpg"
23,Камера 29"х2.1","Камера 29x2.1, Schrader",6,2025,900,7,"products/tube-1.jpg"